WKT,name,description
"POINT (-101.8792555 33.5876641)", Name 2000 ,
"POINT (-101.8772088 33.5841022)", Name 2001 ,
"POINT (-101.8812418 33.5802047)", Name 2002 ,
"POINT (-101.8717921 33.5803854)", Name 2003 ,
"POINT (-101.8732802 33.5845867)", Name 2004 ,
"POINT (-101.8769470 33.5858431)", Name 2005 ,
"POINT (-101.8792812 33.5808382)", Name 2006 ,
"POINT (-101.8822133 33.5787390)", Name 2007 ,
"POINT (-101.8790181 33.5875544)", Name 2008 ,
"POINT (-101.8727839 33.5812534)", Name 2009 ,
"POINT (-101.8792871 33.5867279)", Name 2010 ,
"POINT (-101.8801025 33.5872332)", Name 2011 ,
"POINT (-101.8810185 33.5913559)", Name 2012 ,
"POINT (-101.8770484 33.5811344)", Name 2013 ,
"POINT (-101.8757547 33.5821770)", Name 2014 ,
"POINT (-101.8787760 33.5844501)", Name 2015 ,
"POINT (-101.8817315 33.5795107)", Name 2016 ,
"POINT (-101.8776006 33.5860262)", Name 2017 ,
"POINT (-101.8742126 33.5849563)", Name 2018 ,
"POINT (-101.8767426 33.5848750)", Name 2019 ,
"POINT (-101.8745376 33.5843760)", Name 2020 ,
"POINT (-101.8806082 33.5801120)", Name 2021 ,
"POINT (-101.8743445 33.5790648)", Name 2022 ,
"POINT (-101.8797351 33.5798952)", Name 2023 ,
"POINT (-101.8792510 33.5867332)", Name 2024 ,
"POINT (-101.8716441 33.5794263)", Name 2025 ,
"POINT (-101.8746737 33.5821369)", Name 2026 ,
"POINT (-101.8806350 33.5786382)", Name 2027 ,
"POINT (-101.8718334 33.5870520)", Name 2028 ,
"POINT (-101.8762828 33.5788844)", Name 2029 ,
"POINT (-101.8822271 33.5785909)", Name 2030 ,
"POINT (-101.8752792 33.5862803)", Name 2031 ,
"POINT (-101.8751387 33.5855685)", Name 2032 ,
"POINT (-101.8811170 33.5787918)", Name 2033 ,
"POINT (-101.8762966 33.5791636)", Name 2034 ,
"POINT (-101.8823775 33.5877995)", Name 2035 ,
"POINT (-101.8805553 33.5885560)", Name 2036 ,
"POINT (-101.8741974 33.5852086)", Name 2037 ,
"POINT (-101.8753130 33.5848114)", Name 2038 ,
"POINT (-101.8792105 33.5808945)", Name 2039 ,
"POINT (-101.8801345 33.5828795)", Name 2040 ,
"POINT (-101.8775482 33.5851344)", Name 2041 ,
"POINT (-101.8717921 33.5800475)", Name 2042 ,
"POINT (-101.8800749 33.5872540)", Name 2043 ,
"POINT (-101.8813696 33.5858154)", Name 2044 ,
"POINT (-101.8747687 33.5843311)", Name 2045 ,
"POINT (-101.8820185 33.5872941)", Name 2046 ,
"POINT (-101.8713390 33.5843009)", Name 2047 ,
"POINT (-101.8707519 33.5805671)", Name 2048 ,
"POINT (-101.8715842 33.5799276)", Name 2049 ,
"POINT (-101.8747292 33.5820848)", Name 2050 ,
"POINT (-101.8733099 33.5807027)", Name 2051 ,
"POINT (-101.8759230 33.5822184)", Name 2052 ,
"POINT (-101.8724373 33.5801430)", Name 2053 ,
"POINT (-101.8756185 33.5894486)", Name 2054 ,
"POINT (-101.8803424 33.5828578)", Name 2055 ,
"POINT (-101.8789401 33.5824190)", Name 2056 ,
"POINT (-101.8787210 33.5860729)", Name 2057 ,
"POINT (-101.8784569 33.5895127)", Name 2058 ,
"POINT (-101.8818977 33.5855859)", Name 2059 ,
"POINT (-101.8721300 33.5838819)", Name 2060 ,
"POINT (-101.8756185 33.5898151)", Name 2061 ,
"POINT (-101.8767931 33.5832265)", Name 2062 ,
"POINT (-101.8766889 33.5846606)", Name 2063 ,
"POINT (-101.8720642 33.5851270)", Name 2064 ,
"POINT (-101.8757263 33.5821999)", Name 2065 ,
"POINT (-101.8810133 33.5920909)", Name 2066 ,
"POINT (-101.8788007 33.5810959)", Name 2067 ,
"POINT (-101.8799391 33.5816314)", Name 2068 ,
"POINT (-101.8812957 33.5853533)", Name 2069 ,
"POINT (-101.8759210 33.5819584)", Name 2070 ,
"POINT (-101.8804262 33.5846640)", Name 2071 ,
"POINT (-101.8784702 33.5882154)", Name 2072 ,
"POINT (-101.8756152 33.5823897)", Name 2073 ,
"POINT (-101.8806878 33.5891152)", Name 2074 ,
"POINT (-101.8810454 33.5805157)", Name 2075 ,
"POINT (-101.8740941 33.5871135)", Name 2076 ,
"POINT (-101.8736209 33.5846023)", Name 2077 ,
"POINT (-101.8792841 33.5808412)", Name 2078 ,
"POINT (-101.8851496 33.5803792)", Name 2079 ,
"POINT (-101.8788433 33.5868000)", Name 2080 ,
"POINT (-101.8792167 33.5866775)", Name 2081 ,
"POINT (-101.8766717 33.5862070)", Name 2082 ,
"POINT (-101.8760477 33.5858034)", Name 2083 ,
"POINT (-101.8791392 33.5880827)", Name 2084 ,
"POINT (-101.8747006 33.5897724)", Name 2085 ,
"POINT (-101.8716091 33.5847817)", Name 2086 ,
"POINT (-101.8801799 33.5872760)", Name 2087 ,
"POINT (-101.8782733 33.5860196)", Name 2088 ,
"POINT (-101.8835015 33.5847545)", Name 2089 ,
"POINT (-101.8748228 33.5790052)", Name 2090 ,
"POINT (-101.8803954 33.5815246)", Name 2091 ,
"POINT (-101.8817434 33.5788774)", Name 2092 ,
"POINT (-101.8720240 33.5859982)", Name 2093 ,
"POINT (-101.8822228 33.5917369)", Name 2094 ,
"POINT (-101.8876532 33.5803779)", Name 2095 ,
"POINT (-101.8818683 33.5790336)", Name 2096 ,
"POINT (-101.8734859 33.5850246)", Name 2097 ,
"POINT (-101.8807939 33.5921150)", Name 2098 ,
"POINT (-101.8798915 33.5866487)", Name 2099 ,
"POINT (-101.8814300 33.5814138)", Name 2100 ,
"POINT (-101.8737996 33.5859715)", Name 2101 ,
"POINT (-101.8715614 33.5830352)", Name 2102 ,
"POINT (-101.8757981 33.5829900)", Name 2103 ,
"POINT (-101.8738635 33.5834920)", Name 2104 ,
"POINT (-101.8787677 33.5870603)", Name 2105 ,
"POINT (-101.8724312 33.5839787)", Name 2106 ,
"POINT (-101.8737506 33.5845619)", Name 2107 ,
"POINT (-101.8751149 33.5788138)", Name 2108 ,
"POINT (-101.8752075 33.5789426)", Name 2109 ,
"POINT (-101.8811013 33.5852843)", Name 2110 ,
"POINT (-101.8744435 33.5863650)", Name 2111 ,
"POINT (-101.8729978 33.5883317)", Name 2112 ,
"POINT (-101.8734607 33.5874361)", Name 2113 ,
"POINT (-101.8776104 33.5858671)", Name 2114 ,
"POINT (-101.8808036 33.5821082)", Name 2115 ,
"POINT (-101.8802264 33.5851958)", Name 2116 ,
"POINT (-101.8800629 33.5879961)", Name 2117 ,
"POINT (-101.8788637 33.5810050)", Name 2118 ,
"POINT (-101.8799333 33.5819306)", Name 2119 ,
"POINT (-101.8745271 33.5843886)", Name 2120 ,
"POINT (-101.8726359 33.5850459)", Name 2121 ,
"POINT (-101.8757869 33.5849758)", Name 2122 ,
"POINT (-101.8790743 33.5826762)", Name 2123 ,
"POINT (-101.8752130 33.5790916)", Name 2124 ,
"POINT (-101.8711931 33.5838067)", Name 2125 ,
"POINT (-101.8803987 33.5816496)", Name 2126 ,
"POINT (-101.8812163 33.5920680)", Name 2127 ,
"POINT (-101.8799617 33.5782030)", Name 2128 ,
"POINT (-101.8741151 33.5851359)", Name 2129 ,
"POINT (-101.8731758 33.5820113)", Name 2130 ,
"POINT (-101.8748573 33.5789961)", Name 2131 ,
"POINT (-101.8824254 33.5856257)", Name 2132 ,
"POINT (-101.8820422 33.5874903)", Name 2133 ,
"POINT (-101.8737835 33.5845209)", Name 2134 ,
"POINT (-101.8805180 33.5914805)", Name 2135 ,
"POINT (-101.8734825 33.5843940)", Name 2136 ,
"POINT (-101.8782482 33.5884270)", Name 2137 ,
"POINT (-101.8819546 33.5873815)", Name 2138 ,
"POINT (-101.8717904 33.5792863)", Name 2139 ,
"POINT (-101.8774718 33.5782226)", Name 2140 ,
"POINT (-101.8731060 33.5850355)", Name 2141 ,
"POINT (-101.8774133 33.5850691)", Name 2142 ,
"POINT (-101.8746982 33.5843153)", Name 2143 ,
"POINT (-101.8754265 33.5836825)", Name 2144 ,
"POINT (-101.8746812 33.5854407)", Name 2145 ,
"POINT (-101.8817770 33.5914537)", Name 2146 ,
"POINT (-101.8775725 33.5859493)", Name 2147 ,
"POINT (-101.8737166 33.5866849)", Name 2148 ,
"POINT (-101.8749480 33.5859084)", Name 2149 ,
"POINT (-101.8746846 33.5844713)", Name 2150 ,
"POINT (-101.8791083 33.5883597)", Name 2151 ,
"POINT (-101.8732717 33.5852271)", Name 2152 ,
"POINT (-101.8771239 33.5808486)", Name 2153 ,
"POINT (-101.8794894 33.5875293)", Name 2154 ,
"POINT (-101.8746730 33.5805615)", Name 2155 ,
"POINT (-101.8812154 33.5799141)", Name 2156 ,
"POINT (-101.8814411 33.5804572)", Name 2157 ,
"POINT (-101.8723445 33.5782492)", Name 2158 ,
"POINT (-101.8723986 33.5870507)", Name 2159 ,
"POINT (-101.8723936 33.5879016)", Name 2160 ,
"POINT (-101.8787253 33.5870527)", Name 2161 ,
"POINT (-101.8715174 33.5853610)", Name 2162 ,
"POINT (-101.8723585 33.5869990)", Name 2163 ,
"POINT (-101.8747518 33.5843250)", Name 2164 ,
"POINT (-101.8822800 33.5879179)", Name 2165 ,
"POINT (-101.8813997 33.5793115)", Name 2166 ,
"POINT (-101.8817059 33.5814091)", Name 2167 ,
"POINT (-101.8806901 33.5887708)", Name 2168 ,
"POINT (-101.8755935 33.5823821)", Name 2169 ,
"POINT (-101.8714053 33.5799921)", Name 2170 ,
"POINT (-101.8822363 33.5862993)", Name 2171 ,
"POINT (-101.8794199 33.5854570)", Name 2172 ,
"POINT (-101.8793109 33.5872308)", Name 2173 ,
"POINT (-101.8778673 33.5824766)", Name 2174 ,
"POINT (-101.8734416 33.5850654)", Name 2175 ,
"POINT (-101.8806328 33.5886508)", Name 2176 ,
"POINT (-101.8814393 33.5788140)", Name 2177 ,
"POINT (-101.8708875 33.5870142)", Name 2178 ,
"POINT (-101.8782449 33.5887178)", Name 2179 ,
"POINT (-101.8725161 33.5857835)", Name 2180 ,
"POINT (-101.8822791 33.5790456)", Name 2181 ,
"POINT (-101.8787800 33.5860403)", Name 2182 ,
"POINT (-101.8767603 33.5846309)", Name 2183 ,
"POINT (-101.8751414 33.5788256)", Name 2184 ,
"POINT (-101.8802850 33.5874824)", Name 2185 ,
"POINT (-101.8728503 33.5814610)", Name 2186 ,
"POINT (-101.8881858 33.5842561)", Name 2187 ,
"POINT (-101.8811958 33.5811183)", Name 2188 ,
"POINT (-101.8749483 33.5866866)", Name 2189 ,
"POINT (-101.8814531 33.5854490)", Name 2190 ,
"POINT (-101.8728985 33.5817399)", Name 2191 ,
"POINT (-101.8803453 33.5829205)", Name 2192 ,
"POINT (-101.8769165 33.5858781)", Name 2193 ,
"POINT (-101.8793503 33.5838745)", Name 2194 ,
"POINT (-101.8748538 33.5789486)", Name 2195 ,
"POINT (-101.8787324 33.5868920)", Name 2196 ,
"POINT (-101.8757750 33.5849759)", Name 2197 ,
"POINT (-101.8793527 33.5887454)", Name 2198 ,
"POINT (-101.8814185 33.5826443)", Name 2199 ,
"POINT (-101.8734029 33.5850195)", Name 2200 ,
"POINT (-101.8792719 33.5866267)", Name 2201 ,
"POINT (-101.8730668 33.5842590)", Name 2202 ,
"POINT (-101.8787205 33.5860517)", Name 2203 ,
"POINT (-101.8744995 33.5844607)", Name 2204 ,
"POINT (-101.8817291 33.5790357)", Name 2205 ,
"POINT (-101.8740103 33.5847433)", Name 2206 ,
