WKT,name,description
"LINESTRING (-101.8751556 33.5873378, -101.8751585 33.587139)", Line 78,
"LINESTRING (-101.8744345 33.5858481, -101.8743465 33.5858486)", Line 79,
"LINESTRING (-101.8753018 33.5862612, -101.8754248 33.5862632)", Line 80,
"LINESTRING (-101.8749453 33.5853002, -101.874941 33.5854811)", Line 81,
"LINESTRING (-101.874941 33.5854811, -101.8749397 33.5855749)", Line 82,
"LINESTRING (-101.8749397 33.5855749, -101.8749426 33.5857006)", Line 83,
"LINESTRING (-101.8749426 33.5857006, -101.8749587 33.5857319)", Line 84,
"LINESTRING (-101.8749587 33.5857319, -101.8749614 33.5858012)", Line 85,
"LINESTRING (-101.8744296 33.5855761, -101.8744345 33.5858481)", Line 86,
"LINESTRING (-101.8744345 33.5858481, -101.8744355 33.5859156)", Line 87,
"LINESTRING (-101.8744355 33.5859156, -101.8744415 33.5861023)", Line 88,
"LINESTRING (-101.8736184 33.5843483, -101.873549 33.5843484)", Line 89,
"LINESTRING (-101.873549 33.5843484, -101.8733252 33.5843488)", Line 90,
"LINESTRING (-101.8733252 33.5843488, -101.8733061 33.5843499)", Line 91,
"LINESTRING (-101.8733061 33.5843499, -101.8732893 33.584353)", Line 92,
"LINESTRING (-101.8732893 33.584353, -101.87328 33.5843608)", Line 93,
"LINESTRING (-101.8727062 33.5850722, -101.8726359 33.5850459)", Line 94,
"LINESTRING (-101.8726359 33.5850459, -101.8725662 33.585037)", Line 95,
"LINESTRING (-101.8725662 33.585037, -101.8725022 33.5850334)", Line 96,
"LINESTRING (-101.8725022 33.5850334, -101.8724857 33.5850325)", Line 97,
"LINESTRING (-101.8724857 33.5850325, -101.8724419 33.5850335)", Line 98,
"LINESTRING (-101.8724419 33.5850335, -101.8723865 33.5850347)", Line 99,
"LINESTRING (-101.8743508 33.5862682, -101.8743534 33.5861019)", Line 100,
"LINESTRING (-101.8743534 33.5861019, -101.8743483 33.5859156)", Line 101,
"LINESTRING (-101.8743483 33.5859156, -101.8743465 33.5858486)", Line 102,
"LINESTRING (-101.8743465 33.5858486, -101.8743458 33.5857693)", Line 103,
"LINESTRING (-101.8743458 33.5857693, -101.8743433 33.5855989)", Line 104,
"LINESTRING (-101.8743433 33.5855989, -101.8743438 33.5854398)", Line 105,
"LINESTRING (-101.8748456 33.5866859, -101.8744904 33.5869947)", Line 106,
"LINESTRING (-101.8752864 33.5870866, -101.875159 33.58694)", Line 107,
"LINESTRING (-101.875159 33.58694, -101.8750309 33.5868045)", Line 108,
"LINESTRING (-101.8750309 33.5868045, -101.8750526 33.5871407)", Line 109,
"LINESTRING (-101.871806 33.5851495, -101.8718042 33.5852366)", Line 110,
"LINESTRING (-101.8718042 33.5852366, -101.8718017 33.5856112)", Line 111,
"LINESTRING (-101.8718017 33.5856112, -101.8717105 33.5856917)", Line 112,
"LINESTRING (-101.8741959 33.5855504, -101.874213 33.5855442)", Line 113,
"LINESTRING (-101.874213 33.5855442, -101.8743438 33.5854398)", Line 114,
"LINESTRING (-101.8749533 33.5877429, -101.8749484 33.5874746)", Line 115,
"LINESTRING (-101.8749484 33.5874746, -101.8749453 33.5872401)", Line 116,
"LINESTRING (-101.8749453 33.5872401, -101.874956 33.5872133)", Line 117,
"LINESTRING (-101.874956 33.5872133, -101.8749555 33.5871396)", Line 118,
"LINESTRING (-101.8749555 33.5871396, -101.8749556 33.5870844)", Line 119,
"LINESTRING (-101.8749556 33.5870844, -101.8749483 33.5866866)", Line 120,
"LINESTRING (-101.8754223 33.5830112, -101.8754225 33.5832286)", Line 121,
"LINESTRING (-101.8754225 33.5832286, -101.8754185 33.5832409)", Line 122,
"LINESTRING (-101.8754185 33.5832409, -101.8753923 33.5832918)", Line 123,
"LINESTRING (-101.8753923 33.5832918, -101.8753882 33.5833044)", Line 124,
"LINESTRING (-101.8753882 33.5833044, -101.8753866 33.5833091)", Line 125,
"LINESTRING (-101.8753866 33.5833091, -101.8753826 33.5833267)", Line 126,
"LINESTRING (-101.8753826 33.5833267, -101.8753828 33.5833812)", Line 127,
"LINESTRING (-101.8753828 33.5833812, -101.8753833 33.5835063)", Line 128,
"LINESTRING (-101.8753833 33.5835063, -101.8753849 33.58353)", Line 129,
"LINESTRING (-101.8753849 33.58353, -101.8753903 33.5835423)", Line 130,
"LINESTRING (-101.8753903 33.5835423, -101.8754174 33.5835921)", Line 131,
"LINESTRING (-101.8754174 33.5835921, -101.8754225 33.5836015)", Line 132,
"LINESTRING (-101.8754225 33.5836015, -101.8754272 33.5836102)", Line 133,
"LINESTRING (-101.8754272 33.5836102, -101.875427 33.5836567)", Line 134,
"LINESTRING (-101.875427 33.5836567, -101.8754275 33.5836725)", Line 135,
"LINESTRING (-101.8754275 33.5836725, -101.8754265 33.5836825)", Line 136,
"LINESTRING (-101.8754265 33.5836825, -101.8754222 33.5836954)", Line 137,
"LINESTRING (-101.8754222 33.5836954, -101.8754128 33.5837071)", Line 138,
"LINESTRING (-101.8754128 33.5837071, -101.8754 33.5837183)", Line 139,
"LINESTRING (-101.8754 33.5837183, -101.8753823 33.5837258)", Line 140,
"LINESTRING (-101.8753823 33.5837258, -101.8753511 33.5837278)", Line 141,
"LINESTRING (-101.8753511 33.5837278, -101.8751572 33.5837274)", Line 142,
"LINESTRING (-101.8751572 33.5837274, -101.8750149 33.5837271)", Line 143,
"LINESTRING (-101.8750149 33.5837271, -101.8748649 33.5837268)", Line 144,
"LINESTRING (-101.8748649 33.5837268, -101.8746817 33.5837264)", Line 145,
"LINESTRING (-101.8746817 33.5837264, -101.8746225 33.5837278)", Line 146,
"LINESTRING (-101.8746225 33.5837278, -101.8745759 33.5837317)", Line 147,
"LINESTRING (-101.8745759 33.5837317, -101.874532 33.5837359)", Line 148,
