WKT,name,description
"POINT (-101.8741949 33.5856498)", Start or End node Name 100 ,
"POINT (-101.8724418 33.5848300)", Start or End node Name 101 ,
"POINT (-101.8727062 33.5850722)", Start or End node Name 102 ,
"POINT (-101.8750245 33.5853640)", Start or End node Name 103 ,
"POINT (-101.8750192 33.5853009)", Start or End node Name 104 ,
"POINT (-101.8718292 33.5851284)", Start or End node Name 105 ,
"POINT (-101.8718060 33.5851495)", Start or End node Name 106 ,
"POINT (-101.8748223 33.5852998)", Start or End node Name 107 ,
"POINT (-101.8745351 33.5855753)", Start or End node Name 108 ,
"POINT (-101.8742238 33.5866838)", Start or End node Name 109 ,
"POINT (-101.8744888 33.5866837)", Start or End node Name 110 ,
"POINT (-101.8735700 33.5861073)", Start or End node Name 111 ,
"POINT (-101.8741882 33.5861017)", Start or End node Name 112 ,
"POINT (-101.8735700 33.5861073)", Start or End node Name 113 ,
"POINT (-101.8744355 33.5859156)", Start or End node Name 114 ,
"POINT (-101.8742801 33.5851398)", Start or End node Name 115 ,
"POINT (-101.8743544 33.5850330)", Start or End node Name 116 ,
"POINT (-101.8741879 33.5862670)", Start or End node Name 117 ,
"POINT (-101.8743508 33.5862682)", Start or End node Name 118 ,
"POINT (-101.8752360 33.5858704)", Start or End node Name 119 ,
"POINT (-101.8762086 33.5858704)", Start or End node Name 120 ,
"POINT (-101.8751910 33.5853646)", Start or End node Name 121 ,
"POINT (-101.8750245 33.5853640)", Start or End node Name 122 ,
"POINT (-101.8749483 33.5866866)", Start or End node Name 123 ,
"POINT (-101.8750285 33.5866844)", Start or End node Name 124 ,
"POINT (-101.8748304 33.5855749)", Start or End node Name 125 ,
"POINT (-101.8748223 33.5852998)", Start or End node Name 126 ,
"POINT (-101.8749483 33.5866866)", Start or End node Name 127 ,
"POINT (-101.8753186 33.5862713)", Start or End node Name 128 ,
"POINT (-101.8744340 33.5853059)", Start or End node Name 129 ,
"POINT (-101.8742801 33.5851398)", Start or End node Name 130 ,
"POINT (-101.8751559 33.5864245)", Start or End node Name 131 ,
"POINT (-101.8751429 33.5861639)", Start or End node Name 132 ,
"POINT (-101.8748223 33.5852998)", Start or End node Name 133 ,
"POINT (-101.8745351 33.5855753)", Start or End node Name 134 ,
"POINT (-101.8754265 33.5860080)", Start or End node Name 135 ,
"POINT (-101.8756748 33.5862212)", Start or End node Name 136 ,
"POINT (-101.8741949 33.5856498)", Start or End node Name 137 ,
"POINT (-101.8741984 33.5851003)", Start or End node Name 138 ,
"POINT (-101.8742801 33.5851398)", Start or End node Name 139 ,
"POINT (-101.8736209 33.5846023)", Start or End node Name 140 ,
"POINT (-101.8715228 33.5856917)", Start or End node Name 141 ,
"POINT (-101.8714940 33.5853609)", Start or End node Name 142 ,
"POINT (-101.8723865 33.5850347)", Start or End node Name 143 ,
"POINT (-101.8722838 33.5849008)", Start or End node Name 144 ,
"POINT (-101.8718338 33.5847860)", Start or End node Name 145 ,
"POINT (-101.8718292 33.5851284)", Start or End node Name 146 ,
"POINT (-101.8739089 33.5849085)", Start or End node Name 147 ,
"POINT (-101.8736514 33.5851228)", Start or End node Name 148 ,
"POINT (-101.8740131 33.5847423)", Start or End node Name 149 ,
"POINT (-101.8732694 33.5851222)", Start or End node Name 150 ,
"POINT (-101.8748304 33.5855749)", Start or End node Name 151 ,
"POINT (-101.8745351 33.5855753)", Start or End node Name 152 ,
"POINT (-101.8725974 33.5848975)", Start or End node Name 153 ,
"POINT (-101.8726076 33.5847923)", Start or End node Name 154 ,
"POINT (-101.8731750 33.5854577)", Start or End node Name 155 ,
"POINT (-101.8735700 33.5861073)", Start or End node Name 156 ,
"POINT (-101.8758948 33.5858302)", Start or End node Name 157 ,
"POINT (-101.8757902 33.5857900)", Start or End node Name 158 ,
"POINT (-101.8744296 33.5855761)", Start or End node Name 159 ,
"POINT (-101.8741954 33.5855984)", Start or End node Name 160 ,
"POINT (-101.8755729 33.5858690)", Start or End node Name 161 ,
"POINT (-101.8754265 33.5860080)", Start or End node Name 162 ,
"POINT (-101.8743409 33.5865315)", Start or End node Name 163 ,
"POINT (-101.8741882 33.5861017)", Start or End node Name 164 ,
"POINT (-101.8749556 33.5870844)", Start or End node Name 165 ,
"POINT (-101.8752864 33.5870866)", Start or End node Name 166 ,
"POINT (-101.8745441 33.5853152)", Start or End node Name 167 ,
"POINT (-101.8748304 33.5855749)", Start or End node Name 168 ,
"POINT (-101.8724422 33.5847954)", Start or End node Name 169 ,
"POINT (-101.8718338 33.5847860)", Start or End node Name 170 ,
"POINT (-101.8750192 33.5853009)", Start or End node Name 171 ,
"POINT (-101.8749266 33.5853001)", Start or End node Name 172 ,
"POINT (-101.8749614 33.5858012)", Start or End node Name 173 ,
"POINT (-101.8749427 33.5858009)", Start or End node Name 174 ,
"POINT (-101.8748421 33.5857993)", Start or End node Name 175 ,
"POINT (-101.8745351 33.5855753)", Start or End node Name 176 ,
"POINT (-101.8751429 33.5861639)", Start or End node Name 177 ,
"POINT (-101.8753186 33.5862713)", Start or End node Name 178 ,
"POINT (-101.8743481 33.5839115)", Start or End node Name 179 ,
"POINT (-101.8743544 33.5850330)", Start or End node Name 180 ,
"POINT (-101.8752696 33.5840790)", Start or End node Name 181 ,
"POINT (-101.8740481 33.5841388)", Start or End node Name 182 ,
"POINT (-101.8798305 33.5860320)", Start or End node Name 183 ,
"POINT (-101.8793013 33.5860383)", Start or End node Name 184 ,
"POINT (-101.8798305 33.5860320)", Start or End node Name 185 ,
"POINT (-101.8786477 33.5860002)", Start or End node Name 186 ,
"POINT (-101.8805192 33.5873343)", Start or End node Name 187 ,
"POINT (-101.8799963 33.5873793)", Start or End node Name 188 ,
"POINT (-101.8795229 33.5873359)", Start or End node Name 189 ,
"POINT (-101.8792536 33.5872174)", Start or End node Name 190 ,
"POINT (-101.8804493 33.5872280)", Start or End node Name 191 ,
"POINT (-101.8787488 33.5872188)", Start or End node Name 192 ,
"POINT (-101.8787488 33.5872188)", Start or End node Name 193 ,
"POINT (-101.8787385 33.5869591)", Start or End node Name 194 ,
"POINT (-101.8804951 33.5852715)", Start or End node Name 195 ,
