WKT,name,description
"LINESTRING (-101.8738375 33.5859185, -101.8738360 33.5859791, -101.8738349 33.5861028, -101.8738346 33.5862238, -101.8738345 33.5862672, -101.8738345 33.5862921)", Line 24,
"LINESTRING (-101.8741889 33.5857693, -101.8743458 33.5857693)", Line 25,
"LINESTRING (-101.8756748 33.5862212, -101.8757097 33.5861944, -101.8757865 33.5861938, -101.8759691 33.5861931, -101.8762433 33.5861949)", Line 26,
"LINESTRING (-101.8744415 33.5861023, -101.8744529 33.5861022)", Line 27,
"LINESTRING (-101.8751518 33.5878077, -101.8751541 33.5875215, -101.8751285 33.5875219, -101.8751287 33.5874740, -101.8751285 33.5873375, -101.8751556 33.5873378, -101.8751585 33.5871390)", Line 28,
"LINESTRING (-101.8744345 33.5858481, -101.8743465 33.5858486)", Line 29,
"LINESTRING (-101.8753186 33.5862713, -101.8754248 33.5862632)", Line 30,
"LINESTRING (-101.8749453 33.5853002, -101.8749410 33.5854811, -101.8749397 33.5855749, -101.8749426 33.5857006, -101.8749587 33.5857319, -101.8749614 33.5858012)", Line 31,
"LINESTRING (-101.8754265 33.5860080, -101.8754313 33.5859598, -101.8754308 33.5858686)", Line 32,
"LINESTRING (-101.8744296 33.5855761, -101.8744345 33.5858481, -101.8744355 33.5859156, -101.8744415 33.5861023)", Line 33,
"LINESTRING (-101.8736184 33.5843483, -101.8735490 33.5843484, -101.8733252 33.5843488, -101.8733061 33.5843499, -101.8732893 33.5843530, -101.8732800 33.5843608)", Line 34,
"LINESTRING (-101.8727062 33.5850722, -101.8726359 33.5850459, -101.8725662 33.5850370, -101.8725022 33.5850334, -101.8724857 33.5850325, -101.8724419 33.5850335, -101.8723865 33.5850347)", Line 35,
"LINESTRING (-101.8743508 33.5862682, -101.8743534 33.5861019, -101.8743483 33.5859156, -101.8743465 33.5858486, -101.8743458 33.5857693, -101.8743433 33.5855989, -101.8743438 33.5854398)", Line 36,
"LINESTRING (-101.8748456 33.5866859, -101.8744904 33.5869947)", Line 37,
"LINESTRING (-101.8752864 33.5870866, -101.8751590 33.5869400, -101.8750309 33.5868045, -101.8750499 33.5870875, -101.8750526 33.5871407)", Line 38,
"LINESTRING (-101.8718060 33.5851495, -101.8718042 33.5852366, -101.8718017 33.5856112, -101.8717105 33.5856917)", Line 39,
"LINESTRING (-101.8743438 33.5854398, -101.8743443 33.5853681, -101.8743458 33.5851739)", Line 40,
"LINESTRING (-101.8741959 33.5855504, -101.8742130 33.5855442, -101.8743438 33.5854398)", Line 41,
"LINESTRING (-101.8749533 33.5877429, -101.8749484 33.5874746, -101.8749453 33.5872401, -101.8749560 33.5872133, -101.8749555 33.5871396, -101.8749556 33.5870844, -101.8749483 33.5866866)", Line 42,
"LINESTRING (-101.8754223 33.5830112, -101.8754225 33.5832286, -101.8754185 33.5832409, -101.8753923 33.5832918, -101.8753882 33.5833044, -101.8753866 33.5833091, -101.8753826 33.5833267, -101.8753828 33.5833812, -101.8753833 33.5835063, -101.8753849 33.5835300, -101.8753903 33.5835423, -101.8754174 33.5835921, -101.8754225 33.5836015, -101.8754272 33.5836102, -101.8754270 33.5836567, -101.8754275 33.5836725, -101.8754265 33.5836825, -101.8754222 33.5836954, -101.8754128 33.5837071, -101.8754000 33.5837183, -101.8753823 33.5837258, -101.8753511 33.5837278, -101.8751572 33.5837274, -101.8750149 33.5837271, -101.8748649 33.5837268, -101.8746817 33.5837264, -101.8746225 33.5837278, -101.8745759 33.5837317, -101.8745320 33.5837359, -101.8744686 33.5837470, -101.8743915 33.5837680, -101.8743033 33.5837990, -101.8742460 33.5838225, -101.8741816 33.5838579, -101.8741441 33.5838797, -101.8740914 33.5839157, -101.8740395 33.5839554, -101.8739952 33.5839987, -101.8739368 33.5840656, -101.8739298 33.5840736, -101.8738617 33.5841481, -101.8738018 33.5842054, -101.8737843 33.5842196, -101.8737599 33.5842316, -101.8737233 33.5842451, -101.8736992 33.5842512, -101.8736754 33.5842559, -101.8736475 33.5842571, -101.8736135 33.5842565, -101.8732988 33.5842557, -101.8732871 33.5842529, -101.8732792 33.5842469, -101.8732717 33.5842393, -101.8732683 33.5842298, -101.8732690 33.5842191, -101.8732941 33.5841528, -101.8733129 33.5841166, -101.8733388 33.5840795, -101.8736075 33.5837971, -101.8736720 33.5837321, -101.8737089 33.5836912, -101.8737478 33.5836490, -101.8737827 33.5836138, -101.8737984 33.5835979, -101.8738175 33.5835680, -101.8738420 33.5835314, -101.8738635 33.5834920, -101.8738812 33.5834599, -101.8738892 33.5834459)", Line 43,
"LINESTRING (-101.8741882 33.5861017, -101.8741909 33.5859168)", Line 44,
"LINESTRING (-101.8754265 33.5860080, -101.8752360 33.5858704)", Line 45,
"LINESTRING (-101.8751585 33.5871390, -101.8750526 33.5871407, -101.8749555 33.5871396)", Line 46,
"LINESTRING (-101.8731750 33.5854577, -101.8731689 33.5854457, -101.8731595 33.5854239, -101.8731582 33.5854055, -101.8731689 33.5853608, -101.8732004 33.5852541, -101.8732232 33.5851893, -101.8732387 33.5851220, -101.8732521 33.5850363, -101.8732621 33.5849592, -101.8732662 33.5849033, -101.8732668 33.5848631, -101.8732655 33.5847982, -101.8732655 33.5847826, -101.8732709 33.5847736, -101.8732709 33.5846996)", Line 47,
"LINESTRING (-101.8749614 33.5858012, -101.8749614 33.5858771, -101.8749480 33.5859084, -101.8749495 33.5860793, -101.8749483 33.5866866)", Line 48,
"LINESTRING (-101.8730855 33.5851219, -101.8731060 33.5850355, -101.8731136 33.5849592, -101.8731220 33.5848760, -101.8731217 33.5847962)", Line 49,
