WKT,name,description
"POINT (-101.8767278 33.5844737)", Name 119 ,
"POINT (-101.8738288 33.5847549)", Name 120 ,
"POINT (-101.8789772 33.5892155)", Name 121 ,
"POINT (-101.8808373 33.5814378)", Name 122 ,
"POINT (-101.8800516 33.5798550)", Name 123 ,
"POINT (-101.8716327 33.5847862)", Name 124 ,
"POINT (-101.8740561 33.5850510)", Name 125 ,
"POINT (-101.8811994 33.5804921)", Name 126 ,
"POINT (-101.8769938 33.5807536)", Name 127 ,
"POINT (-101.8792817 33.5866341)", Name 128 ,
"POINT (-101.8728331 33.5851257)", Name 129 ,
"POINT (-101.8781167 33.5887132)", Name 130 ,
"POINT (-101.8792123 33.5866468)", Name 131 ,
"POINT (-101.8732662 33.5843904)", Name 132 ,
"POINT (-101.8731964 33.5838824)", Name 133 ,
"POINT (-101.8748353 33.5790054)", Name 134 ,
"POINT (-101.8750074 33.5891583)", Name 135 ,
"POINT (-101.8822839 33.5917871)", Name 136 ,
"POINT (-101.8745722 33.5821029)", Name 137 ,
"POINT (-101.8788140 33.5816772)", Name 138 ,
"POINT (-101.8817434 33.5789169)", Name 139 ,
"POINT (-101.8755039 33.5848735)", Name 140 ,
"POINT (-101.8754225 33.5836015)", Name 141 ,
"POINT (-101.8745821 33.5910026)", Name 142 ,
"POINT (-101.8879912 33.5820769)", Name 143 ,
"POINT (-101.8781690 33.5824649)", Name 144 ,
"POINT (-101.8744440 33.5865898)", Name 145 ,
"POINT (-101.8856459 33.5803797)", Name 146 ,
"POINT (-101.8800821 33.5873059)", Name 147 ,
"POINT (-101.8747701 33.5838490)", Name 148 ,
"POINT (-101.8774263 33.5811338)", Name 149 ,
"POINT (-101.8793262 33.5890462)", Name 150 ,
"POINT (-101.8767034 33.5847015)", Name 151 ,
"POINT (-101.8748439 33.5855750)", Name 152 ,
"POINT (-101.8743481 33.5839115)", Name 153 ,
"POINT (-101.8788117 33.5810882)", Name 154 ,
"POINT (-101.8803381 33.5876573)", Name 155 ,
"POINT (-101.8748138 33.5843572)", Name 156 ,
"POINT (-101.8705612 33.5826969)", Name 157 ,
"POINT (-101.8734566 33.5876203)", Name 158 ,
"POINT (-101.8814485 33.5815334)", Name 159 ,
"POINT (-101.8786724 33.5859676)", Name 160 ,
"POINT (-101.8746980 33.5902591)", Name 161 ,
"POINT (-101.8746747 33.5806130)", Name 162 ,
"POINT (-101.8780280 33.5824654)", Name 163 ,
"POINT (-101.8730569 33.5874378)", Name 164 ,
"POINT (-101.8708153 33.5846199)", Name 165 ,
"POINT (-101.8732599 33.5782757)", Name 166 ,
"POINT (-101.8775506 33.5859426)", Name 167 ,
"POINT (-101.8789483 33.5811429)", Name 168 ,
"POINT (-101.8748302 33.5790054)", Name 169 ,
"POINT (-101.8735505 33.5801466)", Name 170 ,
"POINT (-101.8752518 33.5898313)", Name 171 ,
"POINT (-101.8748711 33.5844505)", Name 172 ,
"POINT (-101.8821764 33.5871163)", Name 173 ,
"POINT (-101.8744904 33.5869947)", Name 174 ,
"POINT (-101.8794731 33.5893131)", Name 175 ,
"POINT (-101.8801884 33.5863866)", Name 176 ,
"POINT (-101.8801180 33.5916626)", Name 177 ,
"POINT (-101.8719460 33.5817373)", Name 178 ,
"POINT (-101.8803958 33.5814752)", Name 179 ,
"POINT (-101.8771587 33.5801930)", Name 180 ,
"POINT (-101.8792486 33.5808246)", Name 181 ,
"POINT (-101.8741336 33.5829262)", Name 182 ,
"POINT (-101.8742818 33.5787990)", Name 183 ,
"POINT (-101.8810327 33.5822615)", Name 184 ,
"POINT (-101.8770916 33.5825109)", Name 185 ,
"POINT (-101.8739298 33.5840736)", Name 186 ,
"POINT (-101.8728566 33.5812017)", Name 187 ,
"POINT (-101.8750176 33.5851846)", Name 188 ,
"POINT (-101.8744470 33.5872138)", Name 189 ,
"POINT (-101.8801713 33.5866909)", Name 190 ,
"POINT (-101.8725681 33.5849457)", Name 191 ,
"POINT (-101.8831873 33.5803765)", Name 192 ,
"POINT (-101.8811945 33.5830595)", Name 193 ,
"POINT (-101.8708048 33.5847054)", Name 194 ,
"POINT (-101.8787385 33.5869591)", Name 195 ,
"POINT (-101.8815902 33.5905017)", Name 196 ,
"POINT (-101.8743709 33.5788939)", Name 197 ,
"POINT (-101.8736720 33.5837321)", Name 198 ,
"POINT (-101.8806247 33.5889706)", Name 199 ,
"POINT (-101.8729109 33.5818121)", Name 200 ,
"POINT (-101.8752480 33.5840848)", Name 201 ,
"POINT (-101.8799715 33.5848900)", Name 202 ,
"POINT (-101.8813997 33.5791004)", Name 203 ,
"POINT (-101.8862000 33.5835039)", Name 204 ,
"POINT (-101.8804958 33.5889029)", Name 205 ,
"POINT (-101.8735490 33.5843484)", Name 206 ,
"POINT (-101.8737475 33.5802607)", Name 207 ,
"POINT (-101.8808665 33.5891155)", Name 208 ,
"POINT (-101.8808088 33.5805316)", Name 209 ,
"POINT (-101.8788392 33.5868149)", Name 210 ,
"POINT (-101.8718017 33.5856112)", Name 211 ,
"POINT (-101.8786958 33.5874005)", Name 212 ,
"POINT (-101.8805084 33.5854017)", Name 213 ,
"POINT (-101.8808917 33.5838624)", Name 214 ,
"POINT (-101.8755581 33.5822128)", Name 215 ,
"POINT (-101.8792757 33.5866862)", Name 216 ,
"POINT (-101.8734190 33.5794195)", Name 217 ,
"POINT (-101.8767382 33.5858111)", Name 218 ,
"POINT (-101.8786738 33.5860804)", Name 219 ,
"POINT (-101.8787117 33.5792445)", Name 220 ,
"POINT (-101.8805626 33.5796829)", Name 221 ,
"POINT (-101.8809753 33.5787542)", Name 222 ,
"POINT (-101.8747923 33.5789660)", Name 223 ,
"POINT (-101.8793560 33.5884277)", Name 224 ,
"POINT (-101.8734340 33.5802706)", Name 225 ,
"POINT (-101.8734862 33.5835724)", Name 226 ,
"POINT (-101.8745319 33.5791677)", Name 227 ,
"POINT (-101.8812140 33.5853298)", Name 228 ,
"POINT (-101.8710839 33.5858314)", Name 229 ,
"POINT (-101.8776891 33.5824697)", Name 230 ,
"POINT (-101.8767729 33.5800946)", Name 231 ,
"POINT (-101.8721435 33.5820537)", Name 232 ,
"POINT (-101.8801557 33.5872378)", Name 233 ,
"POINT (-101.8772413 33.5788201)", Name 234 ,
"POINT (-101.8742238 33.5866838)", Name 235 ,
"POINT (-101.8804733 33.5815248)", Name 236 ,
"POINT (-101.8791831 33.5866032)", Name 237 ,
"POINT (-101.8738666 33.5848496)", Name 238 ,
"POINT (-101.8808862 33.5853219)", Name 239 ,
"POINT (-101.8750393 33.5850812)", Name 240 ,
"POINT (-101.8710303 33.5860841)", Name 241 ,
"POINT (-101.8743359 33.5850238)", Name 242 ,
"POINT (-101.8784914 33.5859994)", Name 243 ,
"POINT (-101.8731149 33.5782670)", Name 244 ,
"POINT (-101.8770667 33.5825027)", Name 245 ,
"POINT (-101.8806981 33.5837128)", Name 246 ,
"POINT (-101.8767674 33.5858738)", Name 247 ,
"POINT (-101.8735419 33.5809001)", Name 248 ,
"POINT (-101.8799112 33.5840845)", Name 249 ,
"POINT (-101.8801208 33.5872297)", Name 250 ,
"POINT (-101.8814552 33.5856204)", Name 251 ,
"POINT (-101.8809730 33.5879283)", Name 252 ,
"POINT (-101.8731710 33.5861118)", Name 253 ,
"POINT (-101.8709952 33.5857886)", Name 254 ,
"POINT (-101.8817434 33.5913784)", Name 255 ,
"POINT (-101.8787408 33.5870320)", Name 256 ,
"POINT (-101.8777105 33.5823783)", Name 257 ,
"POINT (-101.8792442 33.5811016)", Name 258 ,
"POINT (-101.8832245 33.5849940)", Name 259 ,
"POINT (-101.8737177 33.5805775)", Name 260 ,
"POINT (-101.8733369 33.5793855)", Name 261 ,
"POINT (-101.8778864 33.5823583)", Name 262 ,
"POINT (-101.8719478 33.5846031)", Name 263 ,
"POINT (-101.8767725 33.5800117)", Name 264 ,
"POINT (-101.8810329 33.5887191)", Name 265 ,
"POINT (-101.8767832 33.5829705)", Name 266 ,
"POINT (-101.8811946 33.5801114)", Name 267 ,
"POINT (-101.8819635 33.5816018)", Name 268 ,
"POINT (-101.8778695 33.5829913)", Name 269 ,
"POINT (-101.8719623 33.5800227)", Name 270 ,
"POINT (-101.8765677 33.5858726)", Name 271 ,
"POINT (-101.8780003 33.5816450)", Name 272 ,
"POINT (-101.8805585 33.5911119)", Name 273 ,
"POINT (-101.8708034 33.5848404)", Name 274 ,
"POINT (-101.8788653 33.5808614)", Name 275 ,
"POINT (-101.8753126 33.5871360)", Name 276 ,
"POINT (-101.8732709 33.5847736)", Name 277 ,
"POINT (-101.8833762 33.5816423)", Name 278 ,
"POINT (-101.8725534 33.5812671)", Name 279 ,
"POINT (-101.8822575 33.5790649)", Name 280 ,
"POINT (-101.8794985 33.5892358)", Name 281 ,
"POINT (-101.8768833 33.5860675)", Name 282 ,
"POINT (-101.8782743 33.5852785)", Name 283 ,
"POINT (-101.8753957 33.5849727)", Name 284 ,
"POINT (-101.8728984 33.5816373)", Name 285 ,
"POINT (-101.8713355 33.5842595)", Name 286 ,
"POINT (-101.8809743 33.5852410)", Name 287 ,
"POINT (-101.8751086 33.5849858)", Name 288 ,
"POINT (-101.8747944 33.5789865)", Name 289 ,
"POINT (-101.8793075 33.5859535)", Name 290 ,
"POINT (-101.8713714 33.5849073)", Name 291 ,
"POINT (-101.8795493 33.5889487)", Name 292 ,
"POINT (-101.8752864 33.5870866)", Name 293 ,
"POINT (-101.8809910 33.5814543)", Name 294 ,
"POINT (-101.8802729 33.5914403)", Name 295 ,
"POINT (-101.8714292 33.5782040)", Name 296 ,
"POINT (-101.8799268 33.5829229)", Name 297 ,
"POINT (-101.8731689 33.5853608)", Name 298 ,
"POINT (-101.8739302 33.5850645)", Name 299 ,
"POINT (-101.8811731 33.5801118)", Name 300 ,
"POINT (-101.8805817 33.5888755)", Name 301 ,
"POINT (-101.8709840 33.5856764)", Name 302 ,
"POINT (-101.8821938 33.5845144)", Name 303 ,
"POINT (-101.8815429 33.5904199)", Name 304 ,
"POINT (-101.8781699 33.5865581)", Name 305 ,
"POINT (-101.8707634 33.5857912)", Name 306 ,
"POINT (-101.8731267 33.5843111)", Name 307 ,
"POINT (-101.8741587 33.5840238)", Name 308 ,
"POINT (-101.8737097 33.5845885)", Name 309 ,
"POINT (-101.8799345 33.5818689)", Name 310 ,
"POINT (-101.8805461 33.5782258)", Name 311 ,
"POINT (-101.8758097 33.5830379)", Name 312 ,
"POINT (-101.8739089 33.5849085)", Name 313 ,
"POINT (-101.8793030 33.5867197)", Name 314 ,
"POINT (-101.8877580 33.5820399)", Name 315 ,
"POINT (-101.8711365 33.5843719)", Name 316 ,
"POINT (-101.8793535 33.5880819)", Name 317 ,
"POINT (-101.8810188 33.5805615)", Name 318 ,
"POINT (-101.8792705 33.5808307)", Name 319 ,
"POINT (-101.8724361 33.5846949)", Name 320 ,
"POINT (-101.8815719 33.5822001)", Name 321 ,
"POINT (-101.8734775 33.5802415)", Name 322 ,
"POINT (-101.8774121 33.5801917)", Name 323 ,
"POINT (-101.8719128 33.5846041)", Name 324 ,
"POINT (-101.8807414 33.5841538)", Name 325 ,
"POINT (-101.8778445 33.5864093)", Name 326 ,
"POINT (-101.8780784 33.5859045)", Name 327 ,
"POINT (-101.8745332 33.5887501)", Name 328 ,
"POINT (-101.8773267 33.5792455)", Name 329 ,
"POINT (-101.8755667 33.5840603)", Name 330 ,
"POINT (-101.8732638 33.5846906)", Name 331 ,
"POINT (-101.8762010 33.5819577)", Name 332 ,
"POINT (-101.8754248 33.5862632)", Name 333 ,
"POINT (-101.8814472 33.5788800)", Name 334 ,
"POINT (-101.8772065 33.5839917)", Name 335 ,
"POINT (-101.8708196 33.5845926)", Name 336 ,
"POINT (-101.8791544 33.5828387)", Name 337 ,
"POINT (-101.8786444 33.5873638)", Name 338 ,
"POINT (-101.8738360 33.5859791)", Name 339 ,
"POINT (-101.8712103 33.5856898)", Name 340 ,
"POINT (-101.8788315 33.5868341)", Name 341 ,
"POINT (-101.8749266 33.5853001)", Name 342 ,
"POINT (-101.8787079 33.5869462)", Name 343 ,
"POINT (-101.8804794 33.5821904)", Name 344 ,
"POINT (-101.8852364 33.5839484)", Name 345 ,
"POINT (-101.8814961 33.5805593)", Name 346 ,
"POINT (-101.8733660 33.5799685)", Name 347 ,
"POINT (-101.8763127 33.5819575)", Name 348 ,
"POINT (-101.8818678 33.5856856)", Name 349 ,
"POINT (-101.8744114 33.5787995)", Name 350 ,
"POINT (-101.8797549 33.5818691)", Name 351 ,
"POINT (-101.8711639 33.5865890)", Name 352 ,
"POINT (-101.8791917 33.5867142)", Name 353 ,
"POINT (-101.8738522 33.5848222)", Name 354 ,
"POINT (-101.8783608 33.5883460)", Name 355 ,
