WKT,name,description
"LINESTRING (-101.8737687 33.5845418, -101.8737835 33.5845209)", Line 2000,
"LINESTRING (-101.8737835 33.5845209, -101.8737919 33.5844985)", Line 2001,
"LINESTRING (-101.8737919 33.5844985, -101.8737946 33.5844807)", Line 2002,
"LINESTRING (-101.8737946 33.5844807, -101.8737942 33.5844633)", Line 2003,
"LINESTRING (-101.8737942 33.5844633, -101.8737912 33.5844494)", Line 2004,
"LINESTRING (-101.8737912 33.5844494, -101.8737848 33.5844312)", Line 2005,
"LINESTRING (-101.8737848 33.5844312, -101.8737754 33.5844128)", Line 2006,
"LINESTRING (-101.8737754 33.5844128, -101.8737627 33.5843969)", Line 2007,
"LINESTRING (-101.8737627 33.5843969, -101.8737463 33.5843812)", Line 2008,
"LINESTRING (-101.8737463 33.5843812, -101.8737288 33.58437)", Line 2009,
"LINESTRING (-101.8737288 33.58437, -101.8737067 33.5843597)", Line 2010,
"LINESTRING (-101.8737067 33.5843597, -101.8736799 33.5843516)", Line 2011,
"LINESTRING (-101.8736799 33.5843516, -101.8736527 33.5843485)", Line 2012,
"LINESTRING (-101.8736527 33.5843485, -101.8736184 33.5843483)", Line 2013,
"LINESTRING (-101.8736514 33.5851228, -101.87365 33.5848972)", Line 2014,
"LINESTRING (-101.87365 33.5848972, -101.8736496 33.5848007)", Line 2015,
"LINESTRING (-101.8736496 33.5848007, -101.8736484 33.584691)", Line 2016,
"LINESTRING (-101.8814897 33.5817868, -101.8814485 33.5815334)", Line 2017,
"LINESTRING (-101.8814485 33.5815334, -101.88143 33.5814138)", Line 2018,
"LINESTRING (-101.88143 33.5814138, -101.8814098 33.5812267)", Line 2019,
"LINESTRING (-101.8814098 33.5812267, -101.8814084 33.5811224)", Line 2020,
"LINESTRING (-101.8814084 33.5811224, -101.8814054 33.5810504)", Line 2021,
"LINESTRING (-101.8814054 33.5810504, -101.8813969 33.5807365)", Line 2022,
"LINESTRING (-101.8813969 33.5807365, -101.881399 33.5806742)", Line 2023,
"LINESTRING (-101.881399 33.5806742, -101.881411 33.5806252)", Line 2024,
"LINESTRING (-101.881411 33.5806252, -101.8814204 33.5806053)", Line 2025,
"LINESTRING (-101.8814204 33.5806053, -101.8814341 33.5805861)", Line 2026,
"LINESTRING (-101.8744415 33.5861023, -101.8743534 33.5861019)", Line 2027,
"LINESTRING (-101.8743534 33.5861019, -101.8741882 33.5861017)", Line 2028,
"LINESTRING (-101.8743508 33.5862682, -101.8743409 33.5865315)", Line 2029,
"LINESTRING (-101.8743409 33.5865315, -101.8744888 33.5866837)", Line 2030,
"LINESTRING (-101.872973 33.5861004, -101.8729972 33.5861052)", Line 2031,
"LINESTRING (-101.8729972 33.5861052, -101.8730117 33.586108)", Line 2032,
"LINESTRING (-101.8730117 33.586108, -101.873171 33.5861118)", Line 2033,
"LINESTRING (-101.8724918 33.5882825, -101.8725477 33.5882605)", Line 2034,
"LINESTRING (-101.8725477 33.5882605, -101.8727931 33.5883308)", Line 2035,
"LINESTRING (-101.8727931 33.5883308, -101.8729695 33.5882649)", Line 2036,
"LINESTRING (-101.8729695 33.5882649, -101.8729732 33.5879016)", Line 2037,
"LINESTRING (-101.8729732 33.5879016, -101.8723936 33.5879016)", Line 2038,
"LINESTRING (-101.8729732 33.5879016, -101.8730603 33.5879017)", Line 2039,
"LINESTRING (-101.8730603 33.5879017, -101.8730603 33.5878363)", Line 2040,
"LINESTRING (-101.8730603 33.5878363, -101.8732801 33.5878354)", Line 2041,
"LINESTRING (-101.8732801 33.5878354, -101.8734306 33.5878347)", Line 2042,
"LINESTRING (-101.8735546 33.5883123, -101.8735433 33.5882713)", Line 2043,
"LINESTRING (-101.8735433 33.5882713, -101.8734828 33.5882146)", Line 2044,
"LINESTRING (-101.8734828 33.5882146, -101.8733248 33.5880815)", Line 2045,
"LINESTRING (-101.8733248 33.5880815, -101.8733025 33.5880517)", Line 2046,
"LINESTRING (-101.8733025 33.5880517, -101.8732891 33.5880161)", Line 2047,
"LINESTRING (-101.8732891 33.5880161, -101.873282 33.5879714)", Line 2048,
"LINESTRING (-101.873282 33.5879714, -101.8732801 33.5878879)", Line 2049,
"LINESTRING (-101.8732801 33.5878879, -101.8732801 33.5878354)", Line 2050,
"LINESTRING (-101.8732801 33.5878354, -101.8732778 33.5876506)", Line 2051,
"LINESTRING (-101.8732778 33.5876506, -101.8732775 33.5876214)", Line 2052,
"LINESTRING (-101.8732775 33.5876214, -101.8732764 33.5875325)", Line 2053,
"LINESTRING (-101.8732764 33.5875325, -101.8732752 33.5874389)", Line 2054,
"LINESTRING (-101.8741406 33.5883119, -101.8735546 33.5883123)", Line 2055,
"LINESTRING (-101.8735546 33.5883123, -101.8730991 33.5883173)", Line 2056,
"LINESTRING (-101.8730991 33.5883173, -101.8729695 33.5882649)", Line 2057,
"LINESTRING (-101.8729695 33.5882649, -101.8729786 33.5882975)", Line 2058,
"LINESTRING (-101.8729786 33.5882975, -101.8729978 33.5883317)", Line 2059,
"LINESTRING (-101.8729978 33.5883317, -101.8730126 33.5883487)", Line 2060,
"LINESTRING (-101.8730126 33.5883487, -101.8732334 33.588604)", Line 2061,
"LINESTRING (-101.8732334 33.588604, -101.8732248 33.588661)", Line 2062,
"LINESTRING (-101.8732248 33.588661, -101.8732114 33.5887497)", Line 2063,
"LINESTRING (-101.8732114 33.5887497, -101.8731925 33.5888187)", Line 2064,
"LINESTRING (-101.8730126 33.5883487, -101.8728141 33.5883937)", Line 2065,
"LINESTRING (-101.8728141 33.5883937, -101.8726433 33.5884531)", Line 2066,
"LINESTRING (-101.8743554 33.5874856, -101.8738996 33.5874829)", Line 2067,
"LINESTRING (-101.8738996 33.5874829, -101.8738991 33.5875311)", Line 2068,
"LINESTRING (-101.8738991 33.5875311, -101.8732764 33.5875325)", Line 2069,
"LINESTRING (-101.8716679 33.5840366, -101.8716678 33.5841605)", Line 2070,
